station,temp,YY,MM,DD,hh,mm
bdxc1,12.88333333,2017,9,1,23,0
bdxc1,13.68333333,2017,9,2,23,0
bdxc1,14.30416667,2017,9,3,23,0
bdxc1,14.80833333,2017,9,4,23,0
bdxc1,15.025,2017,9,5,23,0
bdxc1,16.2125,2017,9,6,23,0
bdxc1,16.55,2017,9,7,23,0
bdxc1,16.18333333,2017,9,8,23,0
bdxc1,16,2017,9,9,23,0
bdxc1,15.97083333,2017,9,10,23,0
bdxc1,16.4,2017,9,11,23,0
bdxc1,17.2625,2017,9,12,23,0
bdxc1,17.725,2017,9,13,23,0
bdxc1,17.35,2017,9,14,23,0
bdxc1,15.62083333,2017,9,15,23,0
bdxc1,15.60416667,2017,9,16,23,0
bdxc1,15.3375,2017,9,17,23,0
bdxc1,14.61666667,2017,9,18,23,0
bdxc1,13.28333333,2017,9,19,23,0
bdxc1,12.9,2017,9,20,23,0
bdxc1,12.85833333,2017,9,21,23,0
bdxc1,12.0625,2017,9,22,23,0
bdxc1,12.42083333,2017,9,23,23,0
bdxc1,13.075,2017,9,24,23,0
bdxc1,13.325,2017,9,25,23,0
bdxc1,13.34166667,2017,9,26,23,0
bdxc1,13.92083333,2017,9,27,23,0
bdxc1,14.275,2017,9,28,23,0
bdxc1,14.06666667,2017,9,29,23,0
bdxc1,13.2125,2017,9,30,23,0
bdxc1,12.08333333,2017,10,1,23,0
bdxc1,12.2625,2017,10,2,23,0
bdxc1,11.47916667,2017,10,3,23,0
bdxc1,11.8625,2017,10,4,23,0
bdxc1,12.3375,2017,10,5,23,0
bdxc1,12.81666667,2017,10,6,23,0
bdxc1,12.75833333,2017,10,7,23,0
bdxc1,12.0625,2017,10,8,23,0
bdxc1,12.025,2017,10,9,23,0
bdxc1,12.45,2017,10,10,23,0
